common vocabulary size  ,distance_between_users,user1,user2
733,0.704470943,1293233,2095936
734,0.704615317,454303,1184397
736,0.704791522,902933,8183133
744,0.704943535,390025,10124982
741,0.704964888,15110667,21393536
743,0.704976443,108019,1184397
739,0.705399518,787615,1553624
733,0.705573159,1339206,1940900
746,0.705635253,660478,21393536
742,0.705769579,177831,23930092
732,0.705967051,902933,951968
745,0.706044434,188019,799305
743,0.706072192,177831,687678
739,0.706294332,4277036,25362190
757,0.706377832,1272651,1497561
751,0.706660389,108019,23930092
741,0.706765691,1339206,8183133
742,0.70710707,1339206,2535732
743,0.707380049,133226,257024
746,0.707389445,1497561,2328351
739,0.707511238,90175,1140297
735,0.707672475,724166,14415072
754,0.707817156,902933,2622260
751,0.707934257,4783913,14080464
745,0.708162334,390025,1531518
752,0.708253043,5812180,19378289
734,0.708402813,1140297,1711318
733,0.708459802,352610,799305
749,0.708499193,14080464,21393536
734,0.708519837,799305,1568320
741,0.708540097,82917,1711318
739,0.708798215,5875196,25362190
750,0.708800501,534017,21393536
744,0.70881036,170212,799305
744,0.709033051,2328351,2535732
737,0.709218637,1218609,1531518
730,0.709336017,10124982,25362190
740,0.709374333,1711318,23930092
747,0.70941757,1272651,1339206
751,0.709474837,4294732,25362190
733,0.709498924,144230,227353
748,0.709637554,25362190,55389482
730,0.709661079,90175,14415072
740,0.709689629,133226,144230
743,0.709832382,799305,1553624
752,0.709865698,672266,44588015
741,0.70999362,144230,14415072
741,0.710014756,172656,1272651
746,0.710051213,390025,1497561
747,0.710103241,2535732,21393536
735,0.710147599,1184397,1568320
733,0.710355401,1218609,8183133
736,0.710364587,238543,1339206
740,0.710669932,2328351,25362190
744,0.710749494,453751,25362190
744,0.710794376,90175,188019
748,0.710807973,390025,534017
740,0.710864364,188019,787615
752,0.710962412,308075,1140297
743,0.711132556,133226,172656
746,0.711321248,2535732,23930092
747,0.711375733,15161948,21393536
747,0.711395761,4783913,21393536
754,0.711451474,7782049,10733167
742,0.711565197,90175,227353
755,0.711772688,7782049,21393536
736,0.711851339,1568320,1711318
753,0.711892074,1330950,14415072
754,0.711910668,902933,1030683
744,0.711915429,1497561,20440192
736,0.711944009,227353,1218609
738,0.712122131,8183133,10124982
747,0.712123666,5812180,25362190
737,0.712135985,25362190,58715250
744,0.712262046,724166,1272651
750,0.712345161,144230,257024
749,0.712464406,2535732,19378289
742,0.712737339,144230,1339206
732,0.713030116,951968,1711318
745,0.713047842,1184397,1553624
744,0.713066645,10355638,21393536
734,0.713295239,17949966,25362190
744,0.713399032,639256,25362190
759,0.713406786,271979,2535732
752,0.713434918,453751,2535732
741,0.713703126,90175,1568320
746,0.713857081,257024,14415072
